Laptop_ID,Brand,Model,Processor,RAM_GB,Storage_GB,GPU,Operating_System,Screen_Size,Price_USD
1,MSI,Model-48TJ,Ryzen 7,32,1024,RTX 3050,macOS,13.3,1337
2,Asus,Model-84If,Ryzen 7,16,512,Intel UHD,macOS,14.0,2254
3,Lenovo,Model-03mz,Intel i3,16,1024,NVIDIA GTX 1650,macOS,14.0,618
4,MSI,Model-55xM,Ryzen 7,4,256,RTX 4060,Windows 10,17.3,2104
5,HP,Model-13Js,Ryzen 5,32,1024,Intel UHD,Windows 10,14.0,652
6,Apple,Model-86hn,Intel i5,16,512,NVIDIA GTX 1650,Windows 11,13.3,439
7,Lenovo,Model-73ls,Ryzen 5,16,256,Intel UHD,Windows 10,14.0,655
8,Acer,Model-75GM,Intel i3,8,1024,RTX 4060,Windows 11,13.3,1031
9,Lenovo,Model-81wd,Ryzen 7,8,256,AMD Radeon,macOS,14.0,1938
10,HP,Model-94Sh,Intel i5,32,1024,RTX 4060,Windows 11,13.3,2021
11,MSI,Model-77aR,Intel i3,4,1024,NVIDIA GTX 1650,Windows 10,15.6,901
12,Dell,Model-99sa,Intel i7,8,512,RTX 4060,Windows 11,17.3,750
13,MSI,Model-49QF,Ryzen 7,16,256,RTX 4060,macOS,17.3,2025
14,Dell,Model-74tP,Ryzen 7,16,1024,RTX 4060,Windows 11,14.0,2170
15,MSI,Model-65Bj,Intel i7,4,512,NVIDIA GTX 1650,Windows 10,13.3,1180
16,Apple,Model-90Yk,Intel i5,8,256,Intel UHD,Windows 11,13.3,1493
17,Apple,Model-44wj,Intel i7,32,512,RTX 4060,Windows 10,15.6,1619
18,Apple,Model-96UE,Intel i5,4,256,NVIDIA GTX 1650,Windows 11,13.3,515
19,HP,Model-95xk,Ryzen 5,32,512,NVIDIA GTX 1650,Windows 11,16.0,1956
20,Acer,Model-68Ym,Intel i3,32,512,AMD Radeon,macOS,14.0,2286
21,Dell,Model-13ra,Ryzen 5,16,256,RTX 3050,macOS,17.3,2448
22,MSI,Model-38fI,Ryzen 7,16,1024,Intel UHD,Ubuntu,14.0,1321
23,Lenovo,Model-92oQ,Intel i5,8,256,RTX 4060,Windows 10,17.3,1156
24,Acer,Model-95XT,Intel i3,4,512,NVIDIA GTX 1650,Windows 11,14.0,722
25,HP,Model-36Dj,Intel i3,4,256,RTX 3050,Windows 11,16.0,1521
26,Lenovo,Model-43an,Intel i5,16,256,NVIDIA GTX 1650,macOS,17.3,2474
27,Dell,Model-09wl,Intel i3,16,256,NVIDIA GTX 1650,Ubuntu,16.0,2409
28,Apple,Model-97SC,Intel i7,32,1024,Intel UHD,Windows 11,13.3,1124
29,Asus,Model-00Zm,Ryzen 7,32,512,AMD Radeon,Windows 10,14.0,948
30,HP,Model-31XG,Intel i7,4,256,RTX 4060,Ubuntu,13.3,2143
31,Apple,Model-27LW,Intel i3,16,512,AMD Radeon,macOS,17.3,1174
32,Lenovo,Model-12qU,Ryzen 7,8,256,RTX 4060,Windows 10,15.6,1424
33,Lenovo,Model-90Zv,Intel i7,32,256,Intel UHD,Windows 10,17.3,2323
34,Asus,Model-79DH,Intel i5,32,512,NVIDIA GTX 1650,Windows 11,17.3,678
35,Apple,Model-16jE,Ryzen 7,32,256,NVIDIA GTX 1650,macOS,13.3,2221
36,MSI,Model-93ee,Intel i3,16,512,AMD Radeon,macOS,16.0,439
37,Acer,Model-66LU,Ryzen 5,8,256,RTX 4060,Windows 11,15.6,1292
38,Apple,Model-42LS,Intel i7,8,1024,Intel UHD,Windows 11,13.3,2474
39,MSI,Model-69ZW,Ryzen 5,4,1024,RTX 3050,Windows 11,17.3,746
40,Acer,Model-35NP,Intel i3,4,256,Intel UHD,macOS,17.3,1770
41,Asus,Model-67Mk,Ryzen 7,16,1024,RTX 4060,Windows 10,13.3,505
42,MSI,Model-38VE,Intel i5,16,256,NVIDIA GTX 1650,Windows 11,15.6,2247
43,Asus,Model-52FC,Intel i5,16,512,RTX 3050,macOS,13.3,1859
44,Apple,Model-12jZ,Intel i3,8,512,Intel UHD,macOS,15.6,2075
45,HP,Model-36LB,Intel i3,16,512,AMD Radeon,macOS,14.0,1903
46,Asus,Model-42Jc,Intel i3,32,1024,RTX 4060,Ubuntu,15.6,847
47,HP,Model-18iO,Intel i5,16,256,RTX 4060,Windows 10,14.0,846
48,Acer,Model-26Vw,Intel i7,4,256,NVIDIA GTX 1650,Ubuntu,13.3,1171
49,Lenovo,Model-46pY,Ryzen 7,16,512,RTX 4060,Windows 10,13.3,2105
50,Lenovo,Model-79cK,Intel i3,16,512,RTX 4060,macOS,17.3,1283
51,Lenovo,Model-13Wk,Ryzen 7,8,512,AMD Radeon,Windows 11,15.6,1249
52,MSI,Model-22nM,Intel i7,4,256,RTX 3050,Windows 11,15.6,2209
53,Apple,Model-68Qk,Intel i7,16,256,Intel UHD,Windows 10,17.3,1022
54,Dell,Model-51iy,Ryzen 5,16,1024,RTX 4060,Windows 10,14.0,600
55,HP,Model-26uO,Intel i3,4,1024,RTX 3050,macOS,16.0,1966
56,Asus,Model-64wV,Intel i3,32,1024,AMD Radeon,Windows 10,17.3,834
57,Apple,Model-82AZ,Ryzen 5,4,1024,RTX 3050,Ubuntu,17.3,1021
58,Acer,Model-31TM,Ryzen 5,4,256,Intel UHD,Ubuntu,16.0,365
59,MSI,Model-48JR,Ryzen 5,16,1024,RTX 4060,Ubuntu,15.6,1504
60,Apple,Model-41We,Ryzen 5,32,1024,NVIDIA GTX 1650,Ubuntu,17.3,2108
61,Lenovo,Model-34NI,Ryzen 7,4,256,RTX 3050,Windows 11,13.3,1069
62,Apple,Model-23Sa,Intel i7,4,512,Intel UHD,macOS,13.3,314
63,Dell,Model-89BA,Ryzen 7,8,256,RTX 3050,Ubuntu,17.3,522
64,Lenovo,Model-58BJ,Ryzen 7,16,1024,NVIDIA GTX 1650,Windows 10,13.3,334
65,MSI,Model-71Xh,Intel i7,32,512,NVIDIA GTX 1650,Ubuntu,13.3,573
66,Acer,Model-66KG,Intel i3,16,512,AMD Radeon,Windows 11,13.3,1718
67,HP,Model-85tT,Ryzen 5,32,1024,RTX 3050,macOS,15.6,1485
68,Asus,Model-44zw,Intel i3,4,512,AMD Radeon,Windows 11,17.3,1501
69,Lenovo,Model-20CL,Intel i7,32,1024,AMD Radeon,Windows 11,15.6,1121
70,Lenovo,Model-88np,Ryzen 5,32,256,NVIDIA GTX 1650,macOS,14.0,438
71,Apple,Model-62Iw,Ryzen 7,4,1024,RTX 4060,Windows 11,14.0,1470
72,Lenovo,Model-74ec,Intel i7,16,512,RTX 4060,macOS,14.0,689
73,Dell,Model-89Nn,Intel i5,16,512,Intel UHD,Ubuntu,17.3,2443
74,Dell,Model-34Nw,Ryzen 5,16,256,Intel UHD,Windows 11,14.0,1147
75,Dell,Model-29wV,Intel i7,4,256,RTX 3050,Ubuntu,14.0,2088
76,HP,Model-60jW,Ryzen 5,8,256,AMD Radeon,Windows 10,15.6,721
77,HP,Model-54mc,Ryzen 7,16,256,Intel UHD,Windows 11,14.0,756
78,MSI,Model-40Ul,Ryzen 7,32,512,RTX 3050,Windows 10,15.6,724
79,Apple,Model-25VT,Ryzen 5,8,512,RTX 3050,Windows 10,17.3,1491
80,Asus,Model-91cK,Ryzen 7,4,512,AMD Radeon,Ubuntu,17.3,1647
81,MSI,Model-11nW,Intel i5,16,512,RTX 4060,Ubuntu,16.0,901
82,Acer,Model-08pw,Ryzen 7,32,512,Intel UHD,Windows 11,16.0,1832
83,Apple,Model-47yt,Intel i3,16,1024,Intel UHD,macOS,16.0,482
84,MSI,Model-36CJ,Intel i5,32,512,RTX 3050,macOS,16.0,2407
85,Dell,Model-17yE,Intel i3,8,256,AMD Radeon,macOS,14.0,673
86,Apple,Model-88qW,Ryzen 5,4,1024,Intel UHD,Windows 10,17.3,1743
87,MSI,Model-28CC,Intel i3,4,1024,RTX 4060,macOS,15.6,1995
88,Dell,Model-13Nq,Intel i5,16,256,RTX 3050,Windows 11,15.6,1684
89,MSI,Model-11xn,Ryzen 5,32,512,AMD Radeon,Windows 10,17.3,689
90,Apple,Model-10hz,Ryzen 7,8,1024,RTX 4060,Ubuntu,16.0,933
91,Asus,Model-08wD,Ryzen 7,4,512,RTX 3050,macOS,16.0,1071
92,MSI,Model-42aj,Intel i5,8,1024,RTX 3050,Ubuntu,13.3,2498
93,Acer,Model-77KU,Intel i3,16,512,RTX 4060,Ubuntu,14.0,1178
94,Lenovo,Model-49GD,Intel i7,32,512,NVIDIA GTX 1650,Windows 10,16.0,1591
95,Apple,Model-66vK,Ryzen 5,32,1024,AMD Radeon,Windows 10,17.3,431
96,Lenovo,Model-19Yl,Intel i7,4,512,NVIDIA GTX 1650,Windows 11,17.3,2379
97,HP,Model-23Kx,Ryzen 5,16,1024,RTX 3050,Ubuntu,17.3,1189
98,Dell,Model-37Zw,Intel i3,16,512,NVIDIA GTX 1650,Windows 11,13.3,2236
99,Asus,Model-95PW,Ryzen 5,32,512,RTX 3050,macOS,15.6,1823
100,MSI,Model-02vZ,Ryzen 5,4,1024,NVIDIA GTX 1650,Windows 10,13.3,2238
